Opening,Strategy,Opponent,Wins,Losses,Draws,Win %,Games Played
No Opening,Balanced,SimulatedAnnealing1.0,30,0,0,100.00,30
No Opening,SimulatedAnnealing1.0,Balanced,0,30,0,0.00,30
No Opening,Balanced,Minimax1,29,1,0,96.67,30
No Opening,Minimax1,Balanced,1,29,0,3.33,30
No Opening,Balanced,Minimax2,30,0,0,100.00,30
No Opening,Minimax2,Balanced,0,30,0,0.00,30
Standard Opening,Adaptive,Minimax2,30,0,0,100.00,30
Standard Opening,Minimax2,Adaptive,0,30,0,0.00,30
Standard Opening,Adaptive,MCTS5sec,21,9,0,70.00,30
Standard Opening,MCTS5sec,Adaptive,9,21,0,30.00,30
Standard Opening,Adaptive,MCTS1sec,17,13,0,56.67,30
Standard Opening,MCTS1sec,Adaptive,13,17,0,43.33,30
Standard Opening,Mirror,SimulatedAnnealing0.5,1,12,17,7.69,30
Standard Opening,SimulatedAnnealing0.5,Mirror,12,1,17,92.31,30
Standard Opening,Mirror,SimulatedAnnealing1.0,2,13,15,13.33,30
Standard Opening,SimulatedAnnealing1.0,Mirror,13,2,15,86.67,30
Standard Opening,Mirror,Minimax1,0,15,15,0.00,30
Standard Opening,Minimax1,Mirror,15,0,15,100.00,30
Standard Opening,Mirror,Minimax2,0,15,15,0.00,30
Standard Opening,Minimax2,Mirror,15,0,15,100.00,30
Standard Opening,Mirror,MCTS5sec,0,19,11,0.00,30
Standard Opening,MCTS5sec,Mirror,19,0,11,100.00,30
Standard Opening,Mirror,MCTS1sec,0,25,5,0.00,30
Standard Opening,MCTS1sec,Mirror,25,0,5,100.00,30
No Opening,Balanced,MCTS5sec,14,16,0,46.67,30
No Opening,MCTS5sec,Balanced,16,14,0,53.33,30
No Opening,Balanced,MCTS1sec,14,16,0,46.67,30
No Opening,MCTS1sec,Balanced,16,14,0,53.33,30
No Opening,Adaptive,Mirror,30,0,0,100.00,30
No Opening,Mirror,Adaptive,0,30,0,0.00,30
No Opening,Adaptive,SimulatedAnnealing0.5,30,0,0,100.00,30
No Opening,SimulatedAnnealing0.5,Adaptive,0,30,0,0.00,30
No Opening,Adaptive,SimulatedAnnealing1.0,30,0,0,100.00,30
No Opening,SimulatedAnnealing1.0,Adaptive,0,30,0,0.00,30
No Opening,Adaptive,Minimax1,29,1,0,96.67,30
No Opening,Minimax1,Adaptive,1,29,0,3.33,30
No Opening,Adaptive,Minimax2,30,0,0,100.00,30
No Opening,Minimax2,Adaptive,0,30,0,0.00,30
